Question	Answer	Source	Metadata
What ports are on the Surface Laptop 2?	Here are all available ports on the Surface Laptop 2:\n\n\n1.  1 x **Full-size USB 3.0**\n2.  1 x **Mini DisplayPort**\n3.  1 x **3.5mm headphone jack**\n4.  1 x **Surface Connect**(Compatible with Surface Dock)	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop 2 have a camera?	Yes, there is one camera on Surface Laptop 2:\n\n1.  720p HD front-facing video camera.	https://surfacetip.com/surface-laptop-2-faq/	
What processor is in the Surface Laptop 2?	Microsoft Surface Laptop has three processor configurations:\n\n\n1.  8th Gen Intel® Core™** i5-8250U** quad-core (Consumer)\n\n    1.  Graphics: Intel® UHD Graphics 620.\n    2.  Base Frequency: **1.60 GHz**\n    3.  Max Turbo Frequency: **3.40 GHz**\n    4.  Cache: **6 MB SmartCache**\n    5.  4 cores, 8 threads\n2.  8th Gen Intel® Core™ **i5-8350U** quad-core (Commercial)\n\n    *   Graphics: Intel® UHD Graphics 620.\n    *   Base Frequency: **1.70 GHz**\n    *   Max Turbo Frequency: **3.60 GHz**\n    *   Cache: **6 MB SmartCache**\n    *   4 cores, 8 threads\n3.  8th Gen Intel® Core™** i7-8650U** quad-core\n\n    *   Graphics: Intel® UHD Graphics 620.\n    *   Base Frequency: **1.90 GHz**\n    *   Max Turbo Frequency: **4.20 GHz**\n    *   Cache: **8MB SmartCache**\n    *   4 cores, 8 threads	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop 2 include pen?	No, Surface Laptop 2 **doesn’t include a Surface Pen** out of the box. You will need to purchase separately or use old Surface Pens from previous models. The latest Surface Pen costs about $100 which supports *4,096 levels of pressure and tilts support*.	https://surfacetip.com/surface-laptop-2-faq/	
Does the new Surface Laptop 2 come with a keyboard?	Yes, the Surface Laptop 2 keyboard is integrated into the device and can’t be detached.	https://surfacetip.com/surface-laptop-2-faq/	
When was Surface Laptop 2 release?	Microsoft Surface Laptop was:\n\n\n*   Announced and preordered on October 2, 2018.\n*   Available on October 16, 2018.	https://surfacetip.com/surface-laptop-2-faq/	
Can you upgrade RAM on Surface Laptop 2?	No, you can’t upgrade your Surface Laptop 2 RAM as it was soldered directly onto the motherboard.	https://surfacetip.com/surface-laptop-2-faq/	
Is the Surface Laptop 2 fanless?	No, all Surface Laptop 2 comes with a fan for active cooling.	https://surfacetip.com/surface-laptop-2-faq/	
What size is Surface Laptop 2’s display?	Surface Laptop has a **13.5-inch PixelSense™ Display**.	https://surfacetip.com/surface-laptop-2-faq/	
What is the resolution of Surface Laptop 2?	Surface Laptop has a resolution of **2256 x 1504** and a pixel density of **201ppi** (pixels per Inch).For more information, check:[![Microsoft Surface display size and resolution – a complete list](data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201%201'%3E%3C/svg%3E)![Microsoft Surface display size and resolution – a complete list](https://www.surfacetip.com/wp-content/uploads/2018/07/surface-display-comparison-285x160.jpg)\n\nRecommended Read\n\n### Microsoft Surface display size and resolution – a complete list\n\n](https://surfacetip.com/surface-display-comparison/)	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop 2 need a screen protector?	Even Microsoft Surface Laptop’s screen is made of **Corning Gorilla Glass 3**, it still prone to scratches. You’d better pick one up for your Surface Laptop 2 to protect it from scratches.	https://surfacetip.com/surface-laptop-2-faq/	
What is the default Surface Laptop 2 display scaling?	Micorosft Surface Laptop 2 has a **default display scaling of 150%.**	https://surfacetip.com/surface-laptop-2-faq/	
What is the aspect ratio of Surface Laptop 2?	Surface Laptop 2 has a **3:2 aspect ratio.**	https://surfacetip.com/surface-laptop-2-faq/	
How long does the Surface Laptop 2 last?	Microsoft Surface Laptop 2 last **14.5-hours of battery life **of local video playback tested by Microsoft.	https://surfacetip.com/surface-laptop-2-faq/	
What is the battery capacity of Microsoft Surface Laptop?	Microsoft Surface Laptop 2 has a battery capacity of **45.2 Wh (5,970 mAh, 7.57V)**. For more information check:[![Microsoft Surface battery capacity – a complete list](data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%201%201'%3E%3C/svg%3E)![Microsoft Surface battery capacity – a complete list](https://cdn.surfacetip.com/wp-content/uploads/2017/11/surface-battery-capacity-285x160.jpg)\n\nRecommended Read\n\n### Microsoft Surface battery capacity – a complete list\n\n](https://surfacetip.com/how-much-surface-battery-capacity-in-mah/)	https://surfacetip.com/surface-laptop-2-faq/	
How do I charge my Surface Laptop 2?	You can charge your Surface Laptop 2 by using the** OEM charger came with your Surface Laptop 2 –**Plug the charger to the power source and plug the Surface Connect connector to the charging port on the right side of Surface Laptop 2. It’s a magnet and reversible connector and it’s an official and recommended charging method by Microsoft.	https://surfacetip.com/surface-laptop-2-faq/	
Can I charge Surface Laptop 2 via USB?	No, USB port on Surface Laptop 2 is used for data transfer only.	https://surfacetip.com/surface-laptop-2-faq/	
Can Microsoft Surface Laptop 2 run Photoshop?	Absolutely yes. Microsoft Surface Laptop equipped with the latest quad-core 8th Gen Intel® Core™ processors combined with Intel® UHD Graphics is powerful enough to handle most tasks available on Photoshop.	https://surfacetip.com/surface-laptop-2-faq/	
Can the Surface Laptop 2 run games?	Yes, you can play many game titles at low or medium settings.	https://surfacetip.com/surface-laptop-2-faq/	
Can you code or programming on Surface Laptop 2?	For writing code, Microsoft Surface Laptop 2 is more than powerful enough to handle most code editor such as *VS Code, Atom, or Notepad++*. Combined with its great tactile keys, it’s a perfect mobile development machine you want to have. It’s also capable of compiling complex codes on Visual Studio or Android Studio as well.	https://surfacetip.com/surface-laptop-2-faq/	
Is Surface Laptop 2 64-bit?	Yes, Microsoft Surface Laptop 2 uses the 7th Gen Intel® Core™ processors which supports 64-bit instruction and it does come with a 64-bit version of Windows 10.	https://surfacetip.com/surface-laptop-2-faq/	
Is Surface Laptop 2 good for drawing?	Yes, drawing is really smooth on most apps such as *Adobe Photoshop, **Windows Ink, Sketchable, Bamboo Ink, OneNote, and more.* It supports the latest Surface Pen with *4,096 levels of pressure and tilts support*. However, since the screen can’t be detached and can’t lay down to a lower angle, it’s not recommended for professional uses.	https://surfacetip.com/surface-laptop-2-faq/	
Is Surface Laptop 2 good for students?	Yes, it is. With Surface Laptop 2, you can take advantages of all kind of note taking including ***typing, drawing, and touch***.	https://surfacetip.com/surface-laptop-2-faq/	
Will Surface Laptop 2 run Office?	Yes, Surface Laptop 2 comes with a *Microsoft Office 365 30-days trial*. Office apps will run smoothly on Microsoft Surface Laptop 2.	https://surfacetip.com/surface-laptop-2-faq/	
Will Surface Dock work with Surface Laptop 2?	Yes, Microsoft Surface Laptop 2 works smoothly with Surface Dock via Surface Connect port.	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop run Windows 10?	Yes, it does. Surface Laptop shipped with a full version of Windows 10 Home for consumer models and Windows 10 Pro for commercial models.	https://surfacetip.com/surface-laptop-2-faq/	
Can you download apps on Surface Laptop 2?	Yes, you can. You can download safe and Microsoft verified apps and games from Microsoft Store. Since it shipped with Windows 10 Home or Pro, you can install and run any traditional desktop software you want.	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop 2 run full Windows?	Yes, Surface Laptop 2 comes with the full version **Windows 10 Home** for consumer models and **Windows 10 Pro**for commercial models.	https://surfacetip.com/surface-laptop-2-faq/	
How do I reset my Surface Laptop 2?	To reset your Surface Laptop 2, plug in your Surface Laptop 2 so you don’t run out of power during the refresh.\n\n\n1.  Open **Settings** > **Update & Security**.\n2.  Select **Recovery**.\n3.  Under “**Reset this PC**“, select **Get started**.\n4.  Choose either **Keep my files** or **Remove everything**.\n5.  If you choose to **Remove everything**, you can choose to clean **only the drive where Windows is installed** and **all drives**.\n6.  Next, you will have the option to **just remove my files** and **remove files and clean the drive**. The option to clean the drive is more secure but takes much longer. For example, if you are recycling your Surface, you should clean the drive. If you are keeping your Surface, you just need to remove your files.\n7.  Select **Reset**.  \n\nSurface Laptop 2 will restart and the Surface logo appears during the reset process (this can take several minutes).	https://surfacetip.com/surface-laptop-2-faq/	
Is Microsoft Office free on Surface Laptop 2?	No, the 13.5-inch Surface Laptop 2 comes with a free Office 365 30-days trial, and you need to purchase a subscription to continue using the full Office suite when the trial period ended.	https://surfacetip.com/surface-laptop-2-faq/	
Does Surface Laptop 2 need antivirus?	In most cases, you don’t need a third-party antivirus. Windows 10 on Surface Laptop has a built-in **Windows Defender for virus and threat protection**out of the box. It’s free and receives definition updates regularly via Windows Update.	https://surfacetip.com/surface-laptop-2-faq/	
Is Surface Laptop 2 a tablet or a laptop?	Surface Laptop 2 is a 100% laptop form factor.	https://surfacetip.com/surface-laptop-2-faq/	
What is the company that makes Surface Laptop 2?	Surface Laptop 2 is a product among other Surface-branded products that are made by the** Microsoft**company.	https://surfacetip.com/surface-laptop-2-faq/	
